,dex_price,cex_price,unix_datetime,pool_asset,cex_asset,date,time,price_diff
256,19.981524209,20.045,1675861883.0,AVAX,AVAX,2023-02-08,13:11:23,99.8414
258,0.7174781,0.721,1675861889.0,AVA,AVA,2023-02-08,13:11:29,99.7552
262,22957.821126724,22905.51,1675861953.0,BTC,BTC,2023-02-08,13:12:33,99.8859
264,89.696982893,86.65,1675861957.0,AAVE,AAVE,2023-02-08,13:12:37,98.2722
265,1657.31221811,1647.605,1675861966.0,ETH,ETH,2023-02-08,13:12:46,99.7063
266,2.681940263,2.6645,1675861990.0,SNX,SNX,2023-02-08,13:13:10,99.6738
267,1.002727561,0.99995,1675862000.0,USDT,USDT,2023-02-08,13:13:20,99.8613
268,22935.612443417,22892.1,1675862004.0,WBTC,WBTC,2023-02-08,13:13:24,99.9051
272,19.989494964,20.035,1675862021.0,AVAX,AVAX,2023-02-08,13:13:41,99.8863
274,0.717764307,0.72,1675862027.0,AVA,AVA,2023-02-08,13:13:47,99.8445
277,1.556652428,1.55395,1675862036.0,TWT,TWT,2023-02-08,13:13:56,99.9131
278,22966.97914554,22906.195,1675862038.0,BTC,BTC,2023-02-08,13:13:58,99.8675
280,89.732763581,86.65,1675862042.0,AAVE,AAVE,2023-02-08,13:14:02,98.2522
281,1657.441489023,1648.465,1675862050.0,ETH,ETH,2023-02-08,13:14:10,99.7285
282,2.683010105,2.677,1675862060.0,SNX,SNX,2023-02-08,13:14:20,99.8879
283,1.002302177,0.99995,1675862068.0,USDT,USDT,2023-02-08,13:14:28,99.8825
286,15.031436435,15.057,1675862078.0,ATOM,ATOM,2023-02-08,13:14:38,99.915
288,19.981524209,20.035,1675862088.0,AVAX,AVAX,2023-02-08,13:14:48,99.8664
290,0.7174781,0.72,1675862094.0,AVA,AVA,2023-02-08,13:14:54,99.8246
293,1.556031717,1.5533,1675862104.0,TWT,TWT,2023-02-08,13:15:04,99.9121
294,22957.821126724,22894.015,1675862106.0,BTC,BTC,2023-02-08,13:15:06,99.8608
296,89.696982893,86.6,1675862109.0,AAVE,AAVE,2023-02-08,13:15:09,98.2433
297,1658.211338256,1647.755,1675862118.0,ETH,ETH,2023-02-08,13:15:18,99.6837
298,2.681940263,2.673,1675862128.0,SNX,SNX,2023-02-08,13:15:28,99.833
299,1.001902512,0.99995,1675862138.0,USDT,USDT,2023-02-08,13:15:38,99.9025
302,15.01187438,15.0585,1675862148.0,ATOM,ATOM,2023-02-08,13:15:48,99.8449
304,19.981524209,20.045,1675862158.0,AVAX,AVAX,2023-02-08,13:15:58,99.8414
306,0.7174781,0.72,1675862164.0,AVA,AVA,2023-02-08,13:16:04,99.8246
310,22957.821126724,22917.65,1675862175.0,BTC,BTC,2023-02-08,13:16:15,99.9124
312,89.696982893,86.75,1675862179.0,AAVE,AAVE,2023-02-08,13:16:19,98.3298
313,1657.287727641,1649.865,1675862187.0,ETH,ETH,2023-02-08,13:16:27,99.7756
314,2.681940263,2.674,1675862197.0,SNX,SNX,2023-02-08,13:16:37,99.8517
315,1.001902512,0.99995,1675862206.0,USDT,USDT,2023-02-08,13:16:46,99.9025
318,15.017494943,15.0715,1675862216.0,ATOM,ATOM,2023-02-08,13:16:56,99.8205
320,19.986613324,20.065,1675862226.0,AVAX,AVAX,2023-02-08,13:17:06,99.8043
322,0.717660836,0.72,1675862232.0,AVA,AVA,2023-02-08,13:17:12,99.8373
326,22963.668278124,22916.685,1675862241.0,BTC,BTC,2023-02-08,13:17:21,99.8976
328,89.719827911,86.75,1675862245.0,AAVE,AAVE,2023-02-08,13:17:25,98.3171
329,1658.196119807,1649.675,1675862253.0,ETH,ETH,2023-02-08,13:17:33,99.7424
330,2.682623329,2.673,1675862262.0,SNX,SNX,2023-02-08,13:17:42,99.8203
334,15.038854809,15.0645,1675862282.0,ATOM,ATOM,2023-02-08,13:18:02,99.9148
338,0.717826037,0.7195,1675862298.0,AVA,AVA,2023-02-08,13:18:18,99.8835
341,1.556786305,1.5528,1675862307.0,TWT,TWT,2023-02-08,13:18:27,99.8718
342,22968.954383139,22901.96,1675862308.0,BTC,BTC,2023-02-08,13:18:28,99.854
344,89.740480902,86.65,1675862311.0,AAVE,AAVE,2023-02-08,13:18:31,98.2479
345,1658.577826696,1648.505,1675862320.0,ETH,ETH,2023-02-08,13:18:40,99.6954
346,2.683240853,2.6705,1675862330.0,SNX,SNX,2023-02-08,13:18:50,99.762
347,1.00176906,0.99995,1675862342.0,USDT,USDT,2023-02-08,13:19:02,99.9091
351,99.302758507,99.135,1675862353.0,LTC,LTC,2023-02-08,13:19:13,99.9155
354,0.717573758,0.72,1675862370.0,AVA,AVA,2023-02-08,13:19:30,99.8312
358,22960.881973247,22906.45,1675862380.0,BTC,BTC,2023-02-08,13:19:40,99.8813
360,89.708941723,86.75,1675862384.0,AAVE,AAVE,2023-02-08,13:19:44,98.3232
361,1657.783950157,1649.175,1675862393.0,ETH,ETH,2023-02-08,13:19:53,99.7397
362,2.682297832,2.6725,1675862403.0,SNX,SNX,2023-02-08,13:20:03,99.817
368,20.079953162,20.035,1675862432.0,AVAX,AVAX,2023-02-08,13:20:32,99.8879
370,0.717614994,0.72,1675862439.0,AVA,AVA,2023-02-08,13:20:39,99.8341
373,1.555642742,1.5522,1675862449.0,TWT,TWT,2023-02-08,13:20:49,99.8892
374,22962.201438228,22883.885,1675862451.0,BTC,BTC,2023-02-08,13:20:51,99.8292
376,89.714096918,86.6,1675862454.0,AAVE,AAVE,2023-02-08,13:20:54,98.2338
377,1657.879215783,1647.665,1675862463.0,ETH,ETH,2023-02-08,13:21:03,99.691
378,2.682451972,2.6665,1675862473.0,SNX,SNX,2023-02-08,13:21:13,99.7018
384,20.069883035,20.015,1675862503.0,AVAX,AVAX,2023-02-08,13:21:43,99.8631
386,0.717547643,0.72,1675862510.0,AVA,AVA,2023-02-08,13:21:50,99.8294
389,1.555046867,1.55125,1675862519.0,TWT,TWT,2023-02-08,13:21:59,99.8778
390,22960.046352246,22890.64,1675862520.0,BTC,BTC,2023-02-08,13:22:00,99.8486
392,89.705676924,86.6,1675862523.0,AAVE,AAVE,2023-02-08,13:22:03,98.2385
393,1657.614795993,1648.715,1675862532.0,ETH,ETH,2023-02-08,13:22:12,99.7308
394,2.682200214,2.667,1675862542.0,SNX,SNX,2023-02-08,13:22:22,99.7158
396,22907.265222341,22865.56,1675862555.0,WBTC,WBTC,2023-02-08,13:22:35,99.9089
397,7728.591187405,7713.0,1675862560.0,YFI,YFI,2023-02-08,13:22:40,99.899
398,15.028585028,14.9955,1675862562.0,ATOM,ATOM,2023-02-08,13:22:42,99.8898
400,20.060607125,20.025,1675862571.0,AVAX,AVAX,2023-02-08,13:22:51,99.9112
402,0.717547643,0.72,1675862577.0,AVA,AVA,2023-02-08,13:22:57,99.8294
405,1.554362858,1.54705,1675862586.0,TWT,TWT,2023-02-08,13:23:06,99.7642
406,22960.046352247,22884.455,1675862587.0,BTC,BTC,2023-02-08,13:23:07,99.8351
408,89.705676924,86.65,1675862590.0,AAVE,AAVE,2023-02-08,13:23:10,98.2673
409,1657.614795331,1648.765,1675862599.0,ETH,ETH,2023-02-08,13:23:19,99.7323
410,2.682200214,2.6645,1675862608.0,SNX,SNX,2023-02-08,13:23:28,99.669
412,22912.777515241,22872.29,1675862621.0,WBTC,WBTC,2023-02-08,13:23:41,99.9116
418,0.717547643,0.72,1675862644.0,AVA,AVA,2023-02-08,13:24:04,99.8294
421,1.553353199,1.54795,1675862653.0,TWT,TWT,2023-02-08,13:24:13,99.8258
422,22960.046352247,22886.055,1675862655.0,BTC,BTC,2023-02-08,13:24:15,99.8386
424,89.705676924,86.65,1675862658.0,AAVE,AAVE,2023-02-08,13:24:18,98.2673
425,1657.616950741,1647.915,1675862668.0,ETH,ETH,2023-02-08,13:24:28,99.7065
426,2.682200214,2.6655,1675862677.0,SNX,SNX,2023-02-08,13:24:37,99.6877
428,22918.10482173,22871.885,1675862690.0,WBTC,WBTC,2023-02-08,13:24:50,99.8991
429,7728.591187407,7714.0,1675862694.0,YFI,YFI,2023-02-08,13:24:54,99.9055
434,0.717547643,0.72,1675862712.0,AVA,AVA,2023-02-08,13:25:12,99.8294
437,1.551716055,1.54885,1675862722.0,TWT,TWT,2023-02-08,13:25:22,99.9076
438,22960.046352249,22885.03,1675862723.0,BTC,BTC,2023-02-08,13:25:23,99.8364
440,89.705676924,86.65,1675862727.0,AAVE,AAVE,2023-02-08,13:25:27,98.2673
441,1657.616950079,1648.185,1675862736.0,ETH,ETH,2023-02-08,13:25:36,99.7147
442,2.682200214,2.6655,1675862746.0,SNX,SNX,2023-02-08,13:25:46,99.6877
444,22918.104821733,22863.76,1675862778.0,WBTC,WBTC,2023-02-08,13:26:18,99.8813
445,7728.591187405,7710.0,1675862782.0,YFI,YFI,2023-02-08,13:26:22,99.8796
448,20.060607125,20.025,1675862795.0,AVAX,AVAX,2023-02-08,13:26:35,99.9112
450,0.717547643,0.72,1675862801.0,AVA,AVA,2023-02-08,13:26:41,99.8294
453,1.550835581,1.54775,1675862810.0,TWT,TWT,2023-02-08,13:26:50,99.9004
454,22960.04635225,22880.465,1675862812.0,BTC,BTC,2023-02-08,13:26:52,99.8264
456,89.705676924,86.6,1675862816.0,AAVE,AAVE,2023-02-08,13:26:56,98.2385
457,1657.616948755,1648.115,1675862824.0,ETH,ETH,2023-02-08,13:27:04,99.7126
458,2.682200214,2.665,1675862834.0,SNX,SNX,2023-02-08,13:27:14,99.6783
460,22918.104821734,22867.355,1675862848.0,WBTC,WBTC,2023-02-08,13:27:28,99.8892
461,7728.591187404,7708.5,1675862853.0,YFI,YFI,2023-02-08,13:27:33,99.8699
462,15.018855327,14.9885,1675862854.0,ATOM,ATOM,2023-02-08,13:27:34,99.8988
464,20.060607125,20.015,1675862864.0,AVAX,AVAX,2023-02-08,13:27:44,99.8862
